0,1,2,3,4,5,6,7,8,9
1,1087107,KISII UNIVERSITY,BACHELOR OF ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
2,1103107,KCA UNIVERSITY,BACHELOR OF ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
3,1685107,THARAKA UNIVERSITY,BACHELOR OF ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
4,1053107,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLO,BGAYCHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),18.831,19.914,MAT A(121):C+,,,
5,1229107,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)",26.81,24.601,MAT A(121):C+,,,
6,1515107,TOM MBOYA UNIVERSITY,"BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)",18.831,19.914,MAT A(121):C+,,,
7,1057107,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),32.262,28.868,MAT A(121):C+,,,
8,1096107,GARISSA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),18.831,19.914,MAT A(121):C+,,,
9,1111107,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),34.474,31.842,MAT A(121):C+,,,
10,1118107,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),18.831,19.914,MAT A(121):C+,,,
11,1166107,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),18.831,19.914,MAT A(121):C+,,,
12,1170107,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),23.617,19.914,MAT A(121):C+,,,
13,1240107,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),18.831,19.914,MAT A(121):C+,,,
14,1253107,MOI UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),24.905,24.923,MAT A(121):C+,,,
15,1263107,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),39.531,39.271,MAT A(121):C+,,,
16,1061107,KABARAK UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
17,1079107,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
18,1080107,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,25.061,24.735,MAT A(121):C+,,,
19,1093107,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,-,-,MAT A(121):C+,,,
20,1105107,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,25.416,22.714,MAT A(121):C+,,,
21,1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,23.568,19.914,MAT A(121):C+,,,
22,1162107,DAYSTAR UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
23,1164107,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,28.075,25.777,MAT A(121):C+,,,
24,1173107,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,24.443,24.342,MAT A(121):C+,,,
25,1244107,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
26,1246107,MURANG'A UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
27,1249107,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,34.347,31.441,MAT A(121):C+,,,
28,1279107,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
29,1425107,ZETECH UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
30,1480107,CATHOLIC UNIVERSITY OF EASTERN AFRICA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
1,1176115,LAIKIPIA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE,26.766,25.264,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
2,1246115,MURANG'A UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE (COMPUTER SCIENCE,35.024,34.872,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
3,1515115,TOM MBOYA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE,-,-,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
4,1057115,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),38.37,37.746,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
5,1073115,RONGO UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),25.117,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
6,1078115,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
7,1079115,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),24.086,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
8,1082115,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),36.48,36.441,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
9,1093115,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (COMPUTER SCIENCE),28.842,24.551,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
10,1105115,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),35.372,35.626,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
11,1108115,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),26.078,28.012,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
12,1111115,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),43.497,43.23,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
13,1117115,PWANI UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),34.003,34.938,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
14,1118115,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (COMPUTER SCIENCE),24.015,25.012,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
15,1165115,MAASAI MARA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),32.782,31.458,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
16,1166115,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
17,1169115,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
18,1170115,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),35.264,34.867,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
19,1229115,MASENO UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),38.155,37.84,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
20,1253115,MOI UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),38.968,37.892,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
21,1263115,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (COMPUTER SCIENCE),44.825,44.122,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
22,1500115,THE EAST AFRICAN UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
23,1580115,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),33.591,31.293,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
24,1600115,ALUPE UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
25,1685115,THARAKA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
26,5145115,OPEN UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (COMPUTER SCIENCE),-,-,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
27,1060115,RIARA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,35.796,-,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
28,1061115,KABARAK UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,24.072,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
29,1063115,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,35.209,36.915,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
30,1080309,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,37.695,38.257,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
31,1087115,KISII UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,23.41,23.378,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
32,1088115,GRETSA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
33,1096115,GARISSA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
34,1107115,ST PAULS UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
35,1114115,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,35.408,35.319,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
36,1164115,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,41.039,41.44,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
37,1173115,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,39.746,39.405,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
38,1196115,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
39,1240115,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,33.433,33.475,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
40,1244115,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,24.643,24.097,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
