0,1,2,3,4,5
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
1,1A,"Subject 1
ENG/KIS","Subject 2
MAT ALTERNATIVE A/MAT
ALTERNATIVE B/ANY GROUP II","Subject 3
Any GROUP III","Subject 4
Any GROUP II/2nd GROUP III/ANY GROUP IV/ANY
GROUP V"
,,ENG/KIS – B (PLAIN),,,
,,Bachelor of Laws (LL.B.),,,
2,,"Subject 1
ENG/KIS
ENG/KIS","Subject 2
MAT ALTERNATIVE A/B","Subject 3
Any GROUP II or any GROUP III","Subject 4
A GROUP II or a GROUP III or any GROUP IV or
any GROUP V"
,2A,,"MAT ALTERNATIVE A/B -
C (PLAIN)",,
,,,,,
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,,"Subject 1
ENG/KIS","Subject 2
MAT ALTERNATIVE A/B","Subject 3
Any GROUP II or any GROUP III","Subject 4
A GROUP II or a GROUP III or any GROUP IV or
any GROUP V"
,2B,"Bachelor of Project Planning and Management Bachelor of Hotel & Hospitality Management
Bachelor of Science (Project Planning Management) Bachelor of Hotel Management
Bachelor of Science in Project Management Bachelor of Hotels and Hospitality Management
Bachelor of Human Resources Management Bachelor of Catering & Hospitality Management
Bachelor of Science (Human Resource Management) Bachelor of Science (Ecotourism & Hospitality Management)
Bachelor of Human Resource Management Bachelor of Science in Ecotourism
Bachelor of Science in Human Resource Management, With IT Bachelor of Eco-tourism and Hospitality Management
Bachelor of Science (Eco-tourism, Hotel and Institution Management, With IT)
Bachelor of Science (Hospitality & Tourism Management)
Bachelor of Science (Hospitality Management)
Bachelor of Sustainable Tourism & Hospitality Management
Bachelor of Tourism & Hotel Management
Bachelor of Travel & Tours Operations Management
Bachelor of Science in Travel and Tourism
Management
Bachelor of Catering & Hotel Management
Bachelor of Hotel and Hospitality Management
Bachelor of International Tourism Management
Bachelor of Science (Hospitality and Tourism Management)
Bachelor of Science (Tourism Management)
Bachelor of Science in Hospitality Management
Bachelor of Technology (Institutional Catering and Accommodation)
Bachelor of Technology in Hotel & Hospitality Management
Bachelor of Tourism Management
Bachelor of Travel and Tours Operations Management
Bachelor of Science (Food Operations Management)
Bachelor of Science in Food Service and Hospitality Management
Bachelor of Science (Food Service and Hospitality Management)",,,
3,,"Subject 1
ENG/KIS","Subject 2
MAT ALTERNATIVE A/B or any
GROUP II","Subject 3
Any GROUP III","Subject 4
A GROUP II or 2nd GROUP III or any GROUP IV or
any GROUP V"
,,ENG/KIS - C+,,,
,,,,,
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,,,,,
,3B,ENG C+,,,
,,Bachelor of Arts (English & Communication),,,
,3C,KIS C+,,,
,,Bachelor of Arts (Kiswahili and Communication),,,
,,,,,
,,,,,
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,,,,,
,3E,ARD/COMP/ENG/KIS– C+,,,
,,"Bachelor of Arts (Fine Art, With IT) Bachelor of Science (Graphic, Communication and Advertising)
Bachelor of Arts (Fine Arts) Bachelor of Science (Graphic, Comm. & Advertising)
Bachelor of Science in Gaming and Animation Technology",,,
4,,"Subject 1
MAT ALTERNATIVE A","Subject 2
PHY","Subject 3
BIO/CHE/GEO","Subject 4
A GROUP II or any GROUP III or any GROUP IV or
any GROUP V"
,4A,MAT ALTERNATIVE A - C+,PHY - C+,GEO – C (PLAIN),
,,"Bachelor of Science (Geomatic & Geospatial Information Systems) Bachelor of Applied Science (Geo-informatics)
Bachelor of Science (Geospatial Information Science and Remote Sensing) Bachelor of Science (Geomatic Engineering and Geospatial Information Systems)
Bachelor of Science (Geospatial Information Science, With IT) Bachelor of Technology (Geospatial Engineering Technology)
Bachelor of Technology (Geoinformation Technology) Bachelor of Science (Geospatial Information Science)
Bachelor of Science (Geospatial Engineering) Bachelor of Science in Geospatial Information Science
Bachelor of Engineering (Geospatial Engineering) Bachelor of Science (Spatial Management)
Bachelor of Science in Geomatic Engineering and Geospatial Information Systems",,,
,4B,MAT ALTERNATIVE A - C+,PHY - C+,GEO/CHE - C (PLAIN),
,,"Bachelor of Science (Geophysical and Mineralogy) Bachelor of Science (Earth Science, With IT)
Bachelor of Science (Meteorology) Bachelor of Science (Geology)
Bachelor of Science (Astronomy and Astrophysics) Bachelor of Science (Geophysics)
Bachelor of Science in Mining Physics (Geophysics) Bachelor of Science in Geophysics
Bachelor of Science (Hydrology and Water Resources Management)",,,
5,,"Subject 1
MAT ALTERNATIVE A","Subject 2
PHY","Subject 3
CHE","Subject 4
Subject 4 BIO or any GROUP III or any GROUP IV
or any GROUP V"
,,MAT ALTERNATIVE A - C+,PHY - C+,CHE - C+,ENG/KIS - C+
,,,,,
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,,"Bachelor of Engineering (Mechanical and Production Bachelor of Science (Mechanical Engineering)
Engineering)
Bachelor of Engineering (Mechanical Engineering) Bachelor of Engineering (Industrial and Textile Engineering)
Bachelor of Engineering (Industrial and Textile Engineering) Bachelor of Science (Electrical and Electronic Engineering)
Bachelor of Science (Mechatronic Engineering) Bachelor of Science (Aerospace Engineering)
Bachelor of Science in Electrical and Electronics Engineering Bachelor of Engineering (Chemical Engineering)
Bachelor of Science (Electrical & Electronics Engineering) Bachelor of Science (Marine Engineering)
Bachelor of Science in Water and Environmental Engineering Bachelor of Science in Marine Engineering
Bachelor of Science (Agricultural Engineering) Bachelor of Science (Petroleum Engineering)
Bahelor of Science in Mining and Mineral Process Engineering",,,
,5B,MAT ALTERNATIVE A - C (PLAIN),PHY – C (PLAIN),CHE - C+,
